Date,Symbol,Quantity,Value
1632,XLF,1,27.18
1636,XLF,-1,-27.46
1637,XLF,1,27.49
1638,XLF,-1,-27.93
1639,XLF,1,27.51
1641,XLF,-1,-27.94
1644,XLF,1,28.07
1650,XLF,-1,-28.12
1651,XLF,1,28.27
1652,XLF,-1,-28.4
1654,XLF,1,28.3
1657,XLF,-1,-27.96
1658,XLF,1,27.74
1659,XLF,-1,-28.11
1660,XLF,1,28.17
1666,XLF,-1,-28.62
1667,XLF,1,28.59
1671,XLF,-1,-28.47
1672,XLF,1,28.49
1682,XLF,-1,-28.73
1683,XLF,1,28.98
1687,XLF,1,27.97
1687,XLB,-1,-58.81
1688,XLF,-1,-27.87
1689,XLF,1,27.58
1690,XLF,-1,-27.69
1691,XLF,1,27.69
1693,XLF,-1,-28.14
1693,XLK,1,74.56
1694,XLF,1,28.0
1694,XLB,-1,-57.64
1697,XLF,2,54.42
1699,XLF,-1,-26.43
1701,XLF,-1,-26.75
1702,XLF,1,27.02
1703,XLF,1,26.57
1703,XLB,-1,-53.48
1704,XLP,-1,-54.69
1704,XLF,-1,-26.67
1705,XLF,1,26.1
1707,XLF,1,25.24
1708,XLF,-1,-25.63
1709,XLF,1,25.26
1710,XLF,-1,-25.48
1711,XLF,-1,-25.92
1714,XLF,1,26.38
1715,XLF,-1,-26.8
1716,XLB,1,55.01
1717,XLB,-1,-56.0
1718,XLB,1,55.76
1719,XLF,1,27.12
1721,XLF,-1,-26.73
1722,XLF,1,26.37
1723,XLF,-1,-26.76
1725,XLF,1,26.78
1729,XLF,-1,-26.53
1731,XLF,-1,-27.06
1732,XLF,2,53.66
1733,XLF,-1,-26.97
1735,XLP,1,55.36
1735,XLF,2,51.92
1736,XLP,-1,-55.42
1736,XLF,-1,-25.6
1737,XLF,1,25.11
1740,XLF,-1,-24.66
1741,XLF,1,24.48
1747,XLF,1,22.79
1749,XLF,-3,-69.96000000000001
1750,XLF,1,23.6
1754,XLF,1,23.48
1755,XLF,-2,-48.52
1756,XLF,1,24.29
1763,XLF,-1,-25.42
1766,XLF,1,25.7
1769,XLF,-1,-26.0
1770,XLF,1,25.92
1772,XLF,-1,-25.98
1773,XLF,1,25.94
1778,XLF,1,25.8
1781,XLF,-1,-26.13
1781,XLB,-1,-53.96
1782,XLF,1,26.2
1784,XLF,-1,-26.43
1785,XLF,1,26.47
1789,XLU,1,56.68
1790,XLF,1,26.49
1791,XLF,-1,-26.59
1791,XLK,-1,-71.06
1792,XLF,1,26.52
1793,XLF,-1,-26.69
1794,XLF,1,26.52
1796,XLP,-1,-54.03
1797,XLF,1,25.98
1798,XLF,-1,-25.97
1806,XLF,1,26.14
1807,XLF,-1,-26.06
1808,XLF,2,50.68
1809,XLF,-1,-25.23
1810,XLF,-1,-25.53
1811,XLF,1,25.42
1812,XLF,-1,-25.64
1814,XLF,-1,-26.34
1815,XLF,1,26.32
1822,XLF,-1,-26.65
1824,XLF,1,26.97
1825,XLF,-1,-27.35
1832,XLF,-1,-27.7
1834,XLF,1,28.02
1836,XLE,1,63.66
1837,XLE,-1,-64.25
1837,XLF,-1,-28.07
1838,XLE,1,64.31
1838,XLF,1,27.88
1839,XLF,1,27.42
1840,XLE,-1,-63.75
1840,XLF,-1,-27.36
1843,XLE,1,62.95
1843,XLF,1,26.68
1843,XLK,1,73.31
1844,XLE,-1,-63.72
1844,XLF,-1,-26.89
1844,XLK,-1,-74.49
1847,XLF,1,26.88
1848,XLF,-1,-26.91
1850,XLF,1,27.03
1851,XLE,1,61.39
1852,XLE,-1,-61.62
1852,XLF,-1,-26.86
1853,XLE,1,60.98
1853,XLF,1,26.55
1857,XLF,-1,-26.18
1858,XLE,-1,-60.55
1859,XLE,1,59.88
1861,XLF,1,27.12
1862,XLF,-1,-27.35
1863,XLF,1,27.36
1868,XLF,-1,-27.35
1869,XLF,1,27.3
1870,XLE,-1,-63.68
1871,XLE,1,63.56
1874,XLE,-1,-63.45
1876,XLF,-1,-27.6
1878,XLE,1,62.75
1878,XLF,1,27.86
1879,XLF,-1,-28.08
1880,XLF,1,28.16
1888,XLF,1,27.85
1889,XLF,-1,-28.06
1890,XLF,1,27.94
1891,XLF,-1,-28.0
1891,XLB,-1,-58.26
1894,XLF,1,28.38
1895,XLF,-1,-28.69
1896,XLF,1,28.47
1899,XLF,1,27.61
1900,XLF,-1,-27.6
1901,XLF,2,53.36
1902,XLF,-2,-54.22
1903,XLF,1,26.75
1904,XLF,-1,-27.26
1905,XLF,1,27.17
1906,XLF,1,26.65
1907,XLF,-2,-53.96
1908,XLF,3,77.94
